economy,country,year,rgdpna,rkna,emp,hc,ctfp,rtfpna,labsh,pop
IND,India,2016,7739207.0,0.9321589469909668,482.989013671875,2.100536346435547,0.4405019283294678,0.9766008257865906,0.5175037384033203,1324.517249
IND,India,2017,8284343.0,1.0,487.19097900390625,2.1238200664520264,0.4451795816421509,1.0,0.5218037366867065,1338.6767849999999
IND,India,2018,8791310.0,1.0728684663772583,491.07720947265625,2.1473617553710938,0.4515715539455414,1.0159906148910522,0.5218037366867065,1352.64228
IND,India,2019,9163052.0,1.1359347105026245,497.61572265625,2.1711645126342773,0.44310885667800903,1.017461895942688,0.5218037366867065,1366.4177539999998
KOR,Republic of Korea,1998,881607.6875,0.3680277466773987,20.19291114807129,3.119854211807251,0.5967004299163818,0.773480236530304,0.5187150835990906,46.620691
KOR,Republic of Korea,1999,982701.125,0.3925100564956665,20.578386306762695,3.1558046340942383,0.6611734628677368,0.82149738073349,0.5108062028884888,47.016957
KOR,Republic of Korea,2000,1071742.0,0.4254426658153534,21.441123962402344,3.192169427871704,0.671153724193573,0.8355651497840881,0.506752073764801,47.379241
KOR,Republic of Korea,2001,1123747.25,0.45443370938301086,21.845386505126953,3.218729019165039,0.6652256846427917,0.8388450145721436,0.5106097459793091,47.706224
KOR,Republic of Korea,2002,1210558.25,0.48500150442123413,22.457611083984375,3.245509624481201,0.6882112622261047,0.8655201196670532,0.5056726932525635,47.999547
KOR,Republic of Korea,2003,1248658.125,0.5156870484352112,22.43303871154785,3.272512912750244,0.6805465817451477,0.8703165054321289,0.5120381116867065,48.260897
KOR,Republic of Korea,2004,1313555.625,0.5470863580703735,22.875492095947266,3.29974102973938,0.6768274903297424,0.8828811645507812,0.50962233543396,48.493441
KOR,Republic of Korea,2005,1370150.875,0.5785283446311951,23.075504302978516,3.327195644378662,0.6855692267417908,0.8963833451271057,0.5183563232421875,48.701073
KOR,Republic of Korea,2006,1442280.125,0.6121314167976379,23.399885177612305,3.3548786640167236,0.6796789765357971,0.9088116884231567,0.5230861902236938,48.880451
KOR,Republic of Korea,2007,1525925.75,0.6483378410339355,23.730854034423828,3.3827919960021973,0.6920544505119324,0.93292635679245,0.5193971991539001,49.03481
KOR,Republic of Korea,2008,1571901.75,0.68245929479599,23.836549758911133,3.410937547683716,0.6779746413230896,0.9501596689224243,0.5169674158096313,49.182455999999995
KOR,Republic of Korea,2009,1584362.125,0.7133321166038513,23.706533432006836,3.439317226409912,0.6701754927635193,0.9468255043029785,0.5113298296928406,49.347460999999996
KOR,Republic of Korea,2010,1692175.25,0.7496579885482788,24.02872085571289,3.467933177947998,0.6855635643005371,0.9790623784065247,0.49587032198905945,49.545635999999995
KOR,Republic of Korea,2011,1754543.25,0.7854204177856445,24.452390670776367,3.4984607696533203,0.6713544726371765,0.985048770904541,0.5037407875061035,49.786159
KOR,Republic of Korea,2012,1796696.625,0.8189522624015808,24.885498046875,3.5295772552490234,0.6531071066856384,0.9787276983261108,0.5085257291793823,50.060638999999995
KOR,Republic of Korea,2013,1853556.875,0.8507890701293945,25.257593154907227,3.5612964630126953,0.6146865487098694,0.9814397096633911,0.5114167332649231,50.345717
KOR,Republic of Korea,2014,1912916.125,0.883693516254425,25.826217651367188,3.5936331748962402,0.6128988862037659,0.9857504367828369,0.5181786417961121,50.607907
KOR,Republic of Korea,2015,1966652.0,0.9179964065551758,26.079252243041992,3.6266024112701416,0.6317250728607178,0.9836356043815613,0.5215386152267456,50.823093
KOR,Republic of Korea,2016,2024606.875,0.9548964500427246,26.288166046142578,3.66021990776062,0.6348843574523926,0.9885265827178955,0.5199909806251526,50.983456999999994
KOR,Republic of Korea,2017,2088576.875,1.0,26.55354881286621,3.6945011615753174,0.6340727210044861,1.0,0.5172492861747742,51.096415
KOR,Republic of Korea,2018,2149300.5,1.0402514934539795,26.58141326904297,3.7294631004333496,0.6219330430030823,1.0106995105743408,0.5172492861747742,51.171706
KOR,Republic of Korea,2019,2193132.25,1.0754408836364746,26.798534393310547,3.765122890472412,0.6140710711479187,1.0077602863311768,0.5172492861747742,51.225308
MUS,Mauritius,1998,13215.509765625,0.42110225558280945,0.46080029010772705,2.2328593730926514,1.1752617359161377,0.8745133876800537,0.5125749707221985,1.1652829999999998
MUS,Mauritius,1999,13560.3974609375,0.45224183797836304,0.46405935287475586,2.2581095695495605,1.1734015941619873,0.8575012683868408,0.48705190420150757,1.175574
MUS,Mauritius,2000,14672.7470703125,0.4746823310852051,0.46487200260162354,2.2836453914642334,1.2115250825881958,0.8984687328338623,0.48299092054367065,1.185145
MUS,Mauritius,2001,15163.9716796875,0.498993843793869,0.4702853858470917,2.3022334575653076,1.2244033813476562,0.9011785387992859,0.4748995900154114,1.193917
MUS,Mauritius,2002,15421.296875,0.5208488702774048,0.46870413422584534,2.3209726810455322,1.2640870809555054,0.8978574275970459,0.4665067791938782,1.2018119999999999
MUS,Mauritius,2003,16321.8115234375,0.550050675868988,0.4715389609336853,2.339864492416382,1.2594561576843262,0.920591413974762,0.45995718240737915,1.208994
MUS,Mauritius,2004,17028.587890625,0.5781270861625671,0.47567102313041687,2.358910083770752,1.2447386980056763,0.9279965758323669,0.4545978903770447,1.215677
MUS,Mauritius,2005,17331.404296875,0.6043707728385925,0.4778093993663788,2.378110647201538,1.1818199157714844,0.9170664548873901,0.4439566731452942,1.222003
MUS,Mauritius,2006,18174.630859375,0.6419476270675659,0.48428431153297424,2.397467613220215,1.209256887435913,0.920806884765625,0.43162813782691956,1.228089
MUS,Mauritius,2007,19215.51171875,0.6795196533203125,0.49005961418151855,2.4169821739196777,1.2633605003356934,0.9347053170204163,0.42526301741600037,1.233889
MUS,Mauritius,2008,20250.68359375,0.7137351036071777,0.5075238943099976,2.436655282974243,1.1665695905685425,0.9447799921035767,0.4259181618690491,1.2392619999999999
MUS,Mauritius,2009,20921.98828125,0.7533438801765442,0.5097398161888123,2.456488847732544,1.0746628046035767,0.9498733282089233,0.4265628159046173,1.2439909999999998
