economy,year,lending_rate,gdp_growth,inflation,us10y,spread_bps,log_lending,region,country_name
MUS,2018,8.5,4.00674057198549,3.2160538314457,2.9112449799196787,558.8755020080322,2.1400661634962708,Africa,Mauritius
MUS,2019,8.45,2.89128499346516,0.405655190309553,2.1414,630.8599999999999,2.134166441369082,Africa,Mauritius
MUS,2020,7.225,-14.5465381490166,2.5808007718283,0.889203187250996,633.5796812749004,1.977547233998496,Africa,Mauritius
MUS,2021,6.87083333333333,3.40379866177662,4.02852888157376,1.4468525896414344,542.3980743691895,1.927285399217607,Africa,Mauritius
MUS,2022,7.50416666666666,8.69306675264066,10.7737512242899,2.9505622489959835,455.3604417670677,2.015458421833964,Africa,Mauritius
MUS,2023,9.5,5.00791900868131,7.05298238454736,3.959,554.1,2.251291798606496,Africa,Mauritius
MYS,1998,12.1341666666667,-7.35941518817556,5.27034200348766,5.26288,687.1286666666699,2.4960251649348155,Asia,Malaysia
MYS,1999,8.56333333333333,6.13761201057692,2.74456130240604,5.646135458167331,291.7197875166,2.1474895224536823,Asia,Malaysia
MYS,2000,7.67333333333333,8.85886816969386,1.53474023697699,6.030278884462151,164.30544488711797,2.0377511146256264,Asia,Malaysia
MYS,2001,7.12666666666667,0.517675319192861,1.41678473206098,5.0206854838709685,210.5981182795701,1.9638436169287896,Asia,Malaysia
MYS,2002,6.52833333333334,5.39098830692797,1.80787246281536,4.61308,191.52533333333403,1.876151678449686,Asia,Malaysia
MYS,2003,6.30083333333333,5.7884992858875,1.08967632577286,4.01388,228.6953333333329,1.8406818997821777,Asia,Malaysia
MYS,2004,6.04583333333333,6.78343772370305,1.42127115937402,4.271319999999999,177.45133333333305,1.799369329542196,Asia,Malaysia
MYS,2005,5.9525,5.33213916141486,2.97507092684449,4.28888,166.362,1.7838112993788808,Asia,Malaysia
MYS,2006,6.48583333333333,5.5848470671515,3.60923564224389,4.795,169.08333333333303,1.869620311183296,Asia,Malaysia
MYS,2007,6.40916666666667,6.29878592740947,2.02735317779569,4.634661354581673,177.45053120849974,1.8577292572809627,Asia,Malaysia
MYS,2008,6.08,4.83176988913097,5.44078221100769,3.6642629482071714,241.57370517928288,1.805004695978076,Asia,Malaysia
MYS,2009,5.08416666666666,-1.51352871598714,0.583308405623702,3.26412,182.00466666666605,1.6261311353757597,Asia,Malaysia
MYS,2010,5.0,7.42484738326097,1.62285235577035,3.2150597609561755,178.49402390438246,1.6094379124341005,Asia,Malaysia
MYS,2011,4.915,5.29391283414003,3.1744709215131,2.78164,213.336,1.59229175359913,Asia,Malaysia
MYS,2012,4.78583333333333,5.47345419253853,1.66357102479206,1.80344,298.239333333333,1.565660165088204,Asia,Malaysia
MYS,2013,4.6498,4.69372252557893,2.10501231233612,2.35016,229.964,1.536824207921588,Asia,Malaysia
MYS,2014,4.587025,6.00672194558203,3.14299050879095,2.53956,204.7465,1.523231665785489,Asia,Malaysia
MYS,2015,4.565375,5.09153242155011,2.10438980238359,2.138286852589641,242.7088147410359,1.5185006574419646,Asia,Malaysia
MYS,2016,4.53106666666667,4.44978139761541,2.09056659525742,1.83744,269.36266666666705,1.510957379032215,Asia,Malaysia
MYS,2017,4.60807808641975,5.81272240983328,3.87120115774237,2.32948,227.859808641975,1.5278108690876304,Asia,Malaysia
MYS,2018,4.92844038461538,4.84308697634881,0.884709160571235,2.9112449799196787,201.7195404695701,1.595022585999753,Asia,Malaysia
MYS,2019,4.87689294871795,4.41318742129586,0.662891865764326,2.1414,273.54929487179504,1.5845083262548856,Asia,Malaysia
MYS,2020,3.94420769234615,-5.45684658426701,-1.1387021539305,0.889203187250996,305.5004505095154,1.3722480956850565,Asia,Malaysia
MYS,2021,3.44410640384615,3.31534954399166,2.47710241465447,1.4468525896414344,199.7253814204716,1.2366644815139418,Asia,Malaysia
MYS,2022,3.90802666666667,9.03173723044451,3.37869862549928,2.9505622489959835,95.74644176706865,1.363032557766946,Asia,Malaysia
MYS,2023,5.31737500641025,3.5370638041057,2.48886560125754,3.959,135.83750064102503,1.6709797617342246,Asia,Malaysia
NGA,1998,18.1841666666667,2.58125410192937,9.99637812386806,5.26288,1292.12866666667,2.900551252075039,Africa,Nigeria
NGA,1999,20.29,0.584126892918889,6.61837339479751,5.646135458167331,1464.3864541832668,3.010128153837724,Africa,Nigeria
NGA,2000,21.2741666666667,5.01593475931152,6.93329215565161,6.030278884462151,1524.3887782204552,3.0574935040879034,Africa,Nigeria
